,gem,comune,degurba,GEMI,GEMD,mean_fam_r_disp,median_fam_r_disp,count_fam_r_disp,year
0,001,Aldino/Aldein,3,Aldino,Aldein,40766.25706260032,33060.87,623,2019
1,002,Andriano/Andrian,3,Andriano,Andrian,42048.58402439024,32245.5,410,2019
2,003,Anterivo/Altrei,3,Anterivo,Altrei,32582.243314285715,27708.0,175,2019
3,004,Appiano sulla strada del vino/Eppan an der Weinstraße,2,Appiano sulla strada del vino,Eppan an der Weinstraße,46824.98616246953,33104.45,6155,2019
4,005,Avelengo/Hafling,3,Avelengo,Hafling,48737.41701342282,36534.0,298,2019
5,006,Badia/Abtei,3,Badia,Abtei,56967.4637077769,40373.0,1273,2019
6,007,Barbiano/Barbian,3,Barbiano,Barbian,40049.57887905605,30770.5,678,2019
7,008,Bolzano/Bozen,1,Bolzano,Bozen,39931.34764694591,28792.5,46888,2019
8,009,Braies/Prags,3,Braies,Prags,52274.98088983051,39879.5,236,2019
9,010,Brennero/Brenner,3,Brennero,Brenner,36835.285669546436,29125.21,926,2019
10,011,Bressanone/Brixen,2,Bressanone,Brixen,45757.05026430756,32645.5,9156,2019
11,012,Bronzolo/Branzoll,2,Bronzolo,Branzoll,38327.6986760812,31816.0,1133,2019
12,013,Brunico/Bruneck,2,Brunico,Bruneck,46110.4319640853,32138.66,7128,2019
13,014,Caines/Kuens,2,Caines,Kuens,38780.477,29580.5,150,2019
14,015,Caldaro sulla strada del vino/Kaltern an der Weinstraße,2,Caldaro sulla strada del vino,Kaltern an der Weinstraße,42926.26219425526,31219.0,3377,2019
15,016,Campo di Trens/Freienfeld,3,Campo di Trens,Freienfeld,38922.72763981042,32938.24,1055,2019
16,017,Campo Tures/Sand in Taufers,3,Campo Tures,Sand in Taufers,41967.8262959681,31936.0,2257,2019
17,018,Castelbello-Ciardes/Kastelbell-Tschars,3,Castelbello-Ciardes,Kastelbell-Tschars,36755.91019501625,27071.04,923,2019
18,019,Castelrotto/Kastelruth,3,Castelrotto,Kastelruth,45397.439773950486,31744.6,2787,2019
19,020,Cermes/Tscherms,2,Cermes,Tscherms,41161.83539325843,32926.95,623,2019
20,021,Chienes/Kiens,3,Chienes,Kiens,47987.99329661017,35798.2,1180,2019
21,022,Chiusa/Klausen,3,Chiusa,Klausen,42558.935369193154,32969.0,2045,2019
22,023,Cornedo all'Isarco/Karneid,3,Cornedo all'Isarco,Karneid,41101.68374620061,32621.995000000003,1316,2019
23,024,Cortaccia sulla strada del vino/Kurtatsch an der Weinstraße,3,Cortaccia sulla strada del vino,Kurtatsch an der Weinstraße,38134.66804661487,28205.34,901,2019
24,025,Cortina sulla strada del vino/Kurtinig an der Weinstraße,3,Cortina sulla strada del vino,Kurtinig an der Weinstraße,36969.27482517483,26899.795,286,2019
25,026,Corvara in Badia/Corvara,3,Corvara in Badia,Corvara,64117.91227272727,42187.0,550,2019
26,027,Curon Venosta/Graun im Vinschgau,3,Curon Venosta,Graun im Vinschgau,36529.14253986332,27261.27,878,2019
27,028,Dobbiaco/Toblach,3,Dobbiaco,Toblach,43853.21758832565,32858.479999999996,1302,2019
28,029,Egna/Neumarkt,3,Egna,Neumarkt,40663.56223978919,29839.35,2277,2019
29,030,Falzes/Pfalzen,3,Falzes,Pfalzen,48531.25154320987,35839.57,1134,2019
30,031,Fiè allo Sciliar/Völs am Schlern,3,Fiè allo Sciliar,Völs am Schlern,44386.45217573222,30404.0,1434,2019
31,032,Fortezza/Franzensfeste,3,Fortezza,Franzensfeste,34396.50459798995,25711.0,398,2019
32,033,Funes/Villnöß,3,Funes,Villnöß,41817.90803191489,33774.845,940,2019
33,034,Gais/Gais,3,Gais,Gais,44392.9893911007,34080.0,1281,2019
34,035,Gargazzone/Gargazon,3,Gargazzone,Gargazon,44517.570932784634,33233.0,729,2019
35,036,Glorenza/Glurns,3,Glorenza,Glurns,37107.21243093923,28722.0,362,2019
36,037,Laces/Latsch,3,Laces,Latsch,38067.62375893282,29368.0,2099,2019
37,038,Lagundo/Algund,2,Lagundo,Algund,43687.4083310408,30353.0,2181,2019
38,039,Laion/Lajen,3,Laion,Lajen,40571.22214421252,31463.5,1054,2019
39,040,Laives/Leifers,2,Laives,Leifers,37589.86395149404,31002.0,7463,2019
40,041,Lana/Lana,2,Lana,Lana,41396.51021387283,30389.5,5190,2019
41,042,Lasa/Laas,3,Lasa,Laas,35092.42570965651,27076.0,1543,2019
42,043,Lauregno/Laurein,3,Lauregno,Laurein,40665.91554545455,34078.505000000005,110,2019
43,044,Luson/Lüsen,3,Luson,Lüsen,42939.08207079646,35495.93,565,2019
44,045,Magrè sulla strada del vino/Margreid an der Weinstraße,3,Magrè sulla strada del vino,Margreid an der Weinstraße,36519.08929657794,28371.5,526,2019
45,046,Malles Venosta/Mals,3,Malles Venosta,Mals,35495.52002038736,26909.995000000003,1962,2019
46,047,Marebbe/Enneberg,3,Marebbe,Enneberg,46881.90916958042,34492.0,1144,2019
47,048,Marlengo/Marling,2,Marlengo,Marling,40577.13755860954,30094.0,1237,2019
48,049,Martello/Martell,3,Martello,Martell,33584.43702531645,30339.22,316,2019
49,050,Meltina/Mölten,3,Meltina,Mölten,41963.856863711,34553.46,609,2019
